<<<<<<< HEAD
Alice, Candidate A, 1659516000
Bob, Candidate B, 1659516900
Charlie, Candidate A, 1659517800
Diana, Candidate C, 1659518700
Emily, Candidate B, 1659519600
1Alice, Candidate A, 1659516000
2Bob, Candidate B, 1659516900
3Charlie, Candidate A, 1659517800
4Diana, Candidate C, 1659518700
5Emily, Candidate B, 1659519600
=======
Alice, Candidate A, 1659516000
Bob, Candidate B, 1659516900
Charlie, Candidate A, 1659517800
Diana, Candidate C, 1659518700
Emily, Candidate B, 1659519600
Frank, Candidate A, 1659520500
Grace, Candidate B, 1659521400
Henry, Candidate A, 1659522300
Isabel, Candidate C, 1659523200
Jack, Candidate B, 1659524100
1Alice, Candidate A, 1659516000
1Bob, Candidate B, 1659516900
1Charlie, Candidate A, 1659517800
1Diana, Candidate C, 1659518700
1Emily, Candidate B, 1659519600
1Frank, Candidate A, 1659520500
1Grace, Candidate B, 1659521400
1Henry, Candidate A, 1659522300
1Isabel, Candidate C, 1659523200
1Jack, Candidate B, 1659524100
2Alice, Candidate A, 2659526000
2Bob, Candidate B, 2659526900
2Charlie, Candidate A, 2659527800
2Diana, Candidate C, 2659528700
2Emily, Candidate B, 2659529600
2Frank, Candidate A, 2659520500
2Grace, Candidate B, 2659522400
2Henry, Candidate A, 2659522300
2Isabel, Candidate C, 2659523200
2Jack, Candidate B, 2659524200
3Alice, Candidate A, 3659536000
3Bob, Candidate B, 3659536900
3Charlie, Candidate A, 3659537800
3Diana, Candidate C, 3659538700
3Emily, Candidate B, 3659539600
3Frank, Candidate A, 3659520500
3Grace, Candidate B, 3659523400
3Henry, Candidate A, 3659522300
3Isabel, Candidate C, 3659523200
3Jack, Candidate B, 3659524300
4Alice, Candidate A, 4659546000
4Bob, Candidate B, 4659546900
4Charlie, Candidate A, 4659547800
4Diana, Candidate C, 4659548700
4Emily, Candidate B, 4659549600
4Frank, Candidate A, 4659520500
4Grace, Candidate B, 4659524400
4Henry, Candidate A, 4659522300
4Isabel, Candidate C, 4659523200
4Jack, Candidate B, 4659524400
5Alice, Candidate A, 5659556000
5Bob, Candidate B, 5659556900
5Charlie, Candidate A, 5659557800
5Diana, Candidate C, 5659558700
5Emily, Candidate B, 5659559600
5Frank, Candidate A, 5659520500
5Grace, Candidate B, 5659525400
5Henry, Candidate A, 5659522300
5Isabel, Candidate C, 5659523200
5Jack, Candidate B, 5659524500
6Bob, Candidate B, 6669666900
6Charlie, Candidate A, 6669667800
6Diana, Candidate C, 6669668700
6Emily, Candidate B, 6669669600
6Frank, Candidate A, 6669620600
6Grace, Candidate B, 6669626400
6Henry, Candidate A, 6669622300
6Isabel, Candidate C, 6669623200
6Jack, Candidate B, 6669624600
>>>>>>> 4769ce4f980db4d10b882eeb2232a517d37c16e0
